Rank;Name;TotalNetWorth;LastChange;YTDChange;Country;Industry;Address;City;ZipCode;State;Social security number;UniqueID
163;Wang Jianlin;$12.8B;-$125M;-$2.30B ;China;Real-Estate;Fu Rong Lu 6hao 7037shi Shi Ye Dan Wei Deng Ji Guan Li Ju;Yantai - Laishan District;;Shandong;1991348972367;r8167567i
164;Zhou Qunfei;$12.7B;+$76.9M;-$2.29B ;China;Technology;Gong Shang Ju Su She 3dong 1604;Nanning - Qingxiu District;;Guangxi;2009110951276;f9038330f
165;Victor Rashnikov;$12.6B;-$99.8M;+$1.46B ;Russia;Industrial;Kutuzova Ul., bld. 92, appt. 34;Krasnoyarsk;;Krasnoyarskiy kray;1962154562686;n1191496v
166;Raymond Kwok;$12.6B;-$160M;+$1.42B ;Hong Kong;Real-Estate;14 Shek Lung St;Yau Ma Tei;;Hong Kong;1971727279783;b6251492m
167;Forrest Li;$12.6B;+$346M;+$1.65B ;Singapore;Technology; 3015 Bedok North Street 5 06-20;Singapore;486350;;2002319794371;n2411552c
168;Sherry Brydson;$12.6B;-$49.4M;+$1.61B ;Canada;Media & Telecom;961 7th Ave;Calgary;T2P 0W4;Alberta;1973477023074;q5340846q
169;Dang Yanbao;$12.6B;-$909M;+$3.18B ;China;Energy;Shi Ji Cheng San Qi Chun Yin Yuan 9-3-9c;City Area - Haidian District;;Beijing;1966522941465;q2502733v
170;Lee Jae-Yong & Family;$12.6B;-$271M;-$15.4B ;Korea;Diversified;-3, Igog 2(i)-dong;Dalseo-gu;;Daegu;1968194197364;j3650168b
171;Paolo Rocca  & Family;$12.6B;-$109M;+$2.58B ;Italy;Commodities; Via delle Azalee 86; Castellania;15051; Alessandria;1993428191472;z5594489w
172;Wu Shaoxun;$12.5B;+$242M;-$3.91B ;China;Food & Beverage;3dong 6c;Shenchou - Luohu District;;Guangdong;2006899674004;r3969228p
173;Wang Chuan-Fu;$12.5B;-$59.5M;-$3.59B ;China;Consumer;An De Lu Jia 61hao Gong Ren Ri Bao She 8lou;Beijing;;Beijing;1980916903039;u4404479s
174;Carl Cook;$12.5B;-$251M;+$1.86B ;United States;Health Care;3216 Woodlawn Drive;Milwaukee;53213;Minnesota;1982567500854;k9355642g
175;Jack Dorsey;$12.5B;+$229M;-$177M ;United States;Technology;3831 Center Avenue;Cuervo;88417;Missouri;2005986101817;n7196273u
176;Robert Pera;$12.4B;+$263M;+$211M ;United States;Technology;4050 Cerullo Road;Louisville;40299;New York;2000188000820;d4695068l
177;Leng You-Bin;$12.4B;+$367M;+$1.61B ;China;Consumer;Ru Dong Lu 5hao 3hao Lou 2dan Yuan 503shi;Qingdao - Shinan District;;Shandong;1950488849513;u4947531n
178;Melker Schorling;$12.2B;-$300M;+$856M ;Sweden;Diversified; Mjövattnet 7; Docksta; 870 33;;1955367111693;v5826545g
179;Charles Schwab;$12.2B;-$107M;+$2.33B ;United States;Finance;2791 Birch Street;El Paso;79922;Maryland;1991593893927;h7663784g
180;Brian Chesky;$12.2B;-$306M;-$311M ;United States;Services;199 Public Works Drive;Hyattville;82428;Texas;1944911362791;b5982152i
181;Marcel Telles;$12.2B;-$178M;+$857M ;Brazil;Food & Beverage;Rua Giovani Sarni 887;Sertãozinho;89803-490;São Paulo;1966817982381;m3071475m
182;Thomas Kwok;$12.1B;-$152M;+$1.35B ;Hong Kong;Real-Estate;Manley Coml Bldg;Sheung Wan;;Hong Kong;1950014315568;r2422592a
183;Dilip Shanghvi;$12.1B;+$207M;+$1.89B ;India;Health Care;K21, Kmc Cplx, Kumberpet Mn Rd, Kumbarpet;Bangalore;560002;  Karnataka;2006689774791;p4004198p
184;Pierre Omidyar;$12.1B;+$115M;+$837M ;United States;Technology;4607 Science Center Drive;Coeur D Alene;83814;Illinois;1972656264481;f8710620t
185;Savitri Jindal;$11.9B;-$266M;+$4.59B ;India;Commodities;A 298, New Friends Colony;Delhi;110065;  Delhi;1979729958884;y4176539z
186;Gong Hongjia;$11.8B;-$20.8M;+$1.73B ;China;Technology;Zun Yi Lu 57hao Zhan Lan Guan;Guiyang - Nanming District;;Guizhou;1942084715103;p8463033n
187;Brian Armstrong;$11.7B;+$369M;+$1.55B ;United States;Technology;2754 Henry Ford Avenue;Tulsa;74145;Alabama;1971906062228;p8994013s
188;Liu Yongxing;$11.6B;+$321M;+$1.81B ;China;Industrial;Hai Nan Sheng Hai Kou Shi Hai Xiu Lu Yi Long Heng Lu 12hao;Haikou - Longhua District;;Hainan;1959816439054;y4470850l
189;Patrick Collison;$11.4B;$0;+$7.08B ;Ireland;Technology;34 Main St.;Carrickmacross;;County Monaghan;1946923640284;v1212070n
190;John Collison;$11.4B;$0;+$7.08B ;Ireland;Technology;Unit 4F Fingal Bay Business Pk Balbriggan Co;Balbriggan;;County Dublin;1947620348293;p1012255d
191;Harry Triguboff;$11.3B;$0;+$1.58B ;Australia;Real-Estate;26 Muscat Street;UCARTY;6462;Western Australia;1957946710516;z1851320q
192;Gordon Moore;$11.3B;-$173M;+$1.00B ;United States;Technology;4534 Woodridge Lane;Memphis;38134;Washington;1941606014843;k6558729v
193;Micky Arison;$11.2B;-$83.4M;+$1.14B ;United States;Entertainment;1384 Brannon Street;Los Angeles;90057;Colorado;1988810078207;g5366314f
194;Cheng Yixiao;$11.2B;-$626M;+$5.49B ;China;Technology;Aqu 8hao Lou 4dan Yuan 501shi;Tongliao - Keerqin District;;Inner;1943554297387;m6341293b
195;Marijke Mars;$11.2B;-$58.2M;+$748M ;United States;Food & Beverage;4329 Christie Way;Loganville;53943;Illinois;2004305700485;v1353079m
196;Victoria Mars;$11.2B;-$58.2M;+$748M ;United States;Food & Beverage;1768 Timberbrook Lane;Mountain View;82939;New York;1974823521232;o6070890d
197;Pamela Mars-Wright;$11.2B;-$58.2M;+$748M ;United States;Food & Beverage;3772 Village View Drive;Immokalee;33934;Washington;2004048577227;j5465544o
198;Valerie Mars;$11.2B;-$58.2M;+$748M ;United States;Food & Beverage;3049 Ben Street;Lansing;48933;New York;1941528761188;a6437047r
199;Eyal Ofer;$11.1B;-$86.4M;+$747M ;Israel;Services;Hamagid Street 5 Israel 93114;Jerusalem;;;1951653268814;i4215986l
200;Stefano Pessina;$11.0B;-$151M;+$2.29B;Monaco;Retail;5 Impasse de la Fontaine;Monaco;98000;Monaco;1984565606561;d5705676d
201;Heinrich Deichmann & Family;$11.0B;-$164M;+$453M ;Germany;Retail;Holstenwall 74;Mansfeld;6340;Saxony-Anhalt;2002279976927;e6086688r
202;David Sun;$11.0B;-$547M;+$962M ;United States;Technology;4613 Karen Lane;Portland;97218;Georgia;1967828584631;y1043825d
203;John Tu;$11.0B;-$547M;+$962M ;United States;Technology;2186 Pursglove Court;Dayton;45429;West Virginia;1954674623354;z8731567o
204;Anders Holch Povlsen & Family;$11.0B;-$160M;+$1.63B ;Denmark;Retail;Strandgade 55;Frederiksberg C;1926;Region Sjælland;1965151834390;c1098306s
205;Bobby Murphy;$10.9B;+$230M;+$828M ;United States;Technology;879 Geraldine Lane;Burlington;49029;Pennsylvania;1997060932220;k8313614t
206;Graeme Hart;$10.9B;-$20.9M;-$918M ;New Zealand;Finance;129 Clements Crescent;Queenwood;3210;Hamilton;1955778664023;r4206863u
207;Leon Black;$10.9B;-$35.6M;+$892M ;United States;Finance;3287 Harley Brook Lane;Kane;16735;Texas;1974983396081;s9285036o
208;David Geffen;$10.8B;-$57.4M;-$267M ;United States;Entertainment;513 Orchard Street;Eden Prairie;55344;Texas;1997997068497;y7920248l
209;Steve Cohen;$10.8B;-$8.82M;+$652M ;United States;Finance;4697 Allison Avenue;Winona;65588;New York;1992445720647;l4765776z
210;Dmitry Rybolovlev;$10.8B;-$28.3M;+$421M ;Russia;Diversified;Pr.lenina, bld. 59, appt. 6;Nizhniy Tagil;;Sverdlovskaya oblast;2002700565824;a8518175o
211;Ding Shizhong;$10.8B;-$213M;+$1.04B ;China;Consumer;Ruan Jian Da Dao 50hao Zhong Xing Tong Xun 1hao Lou;Nanjing - Yuhuatai District;;Jiangsu;2007859346136;y8431438a
212;Emmanuel Besnier;$10.8B;-$96.6M;+$583M ;France;Food & Beverage;12 avenue Voltaire;MÂcon;71000;Bourgogne;1993732664913;t8903752p
213;Liu Yonghao;$10.8B;+$72.2M;-$2.60B ;China;Diversified;Dong Yue Da Jie 59hao Yi Dong Gong Si Wang Luo;Taian - Taishan District;;Shandong;1996349721265;j3725355i
214;Wei Jianjun;$10.7B;-$325M;-$2.07B ;China;Consumer;Guan Zhuang Bai Lin Ai Le Si Qi 22hao Lou 3dan Yuan 101;City Area;;Beijing;1983342156673;l5747276o
215;Reinhold Schmieding;$10.7B;-$98.8M;+$1.95B ;United States;Health Care;2247 Lakeland Terrace;Henderson;13650;Idaho;2003828495477;n8233754d
216;Carlos Sicupira;$10.6B;-$141M;+$584M ;Brazil;Food & Beverage;Rua Ferdinando Ricieri Tussetti 503;Chapecó;90240-113;Santa Catarina;2006193376807;o5404326b
217;Frank Wang;$10.6B;+$144M;+$940M ;China;Technology;Liu Tai Da Dao 555hao Xi Nan Cai Jing Da Xue Zhu C312;Chengdushi;;Sichuan;2009989603964;w8843363l
218;Li Shuirong;$10.6B;-$1.03B;-$1.19B ;China;Energy;Zheng Fu Xing Zheng Shen Pi Da Ting Shang Wu Ju Chuang Kou;Qingdao - Shinan District;;Shandong;1990392498957;d7244744g
219;Pham Nhat Vuong;$10.5B;-$128M;+$2.01B ;Vietnam;Real-Estate;9 Str. 885, Phu Huu Ward, Dist.9;Ho Chi Minh City;;Ho Chi Minh City;1960951830896;d3032357m
220;Michael Kadoorie;$10.5B;-$131M;+$645M ;Hong Kong;Energy;10 Knutsford Ter;Tsim Sha Tsui;;Hong Kong;1973800493235;f9038576f
221;Ding Shijia;$10.5B;-$207M;+$1.01B ;China;Consumer;Ding Xiang Lu 1089long 7hao 701;Shanghai;;Shanghai;1956307726397;o7888582u
222;Seo Jung-Jin;$10.4B;-$227M;-$4.66B ;Korea;Health Care;604-2, Choji-dong;Danwon-gu Ansan-si;;Gyeonggi-do;1948249621047;w2440018x
223;Stan Druckenmiller;$10.4B;+$4.60B;+$4.60B ;United States;Finance;3016 Calvin Street;Columbia;21046;Indiana;1964071896312;n8334943a
224;Kumar Birla;$10.4B;-$62.6M;+$3.55B ;India;Industrial;4/19, 3, Kala Bhavan, Mathew Road, Girgaon;Mumbai;400004;  Maharashtra;1982767339456;r2059515d
225;Kim Jung-Ju;$10.4B;-$284M;+$51.1M ;Korea;Technology;996-8, Haengsin 1(il)-dong;Deogyang-gu Goyang-si;;Gyeonggi-do;1945158837301;z6932725p
226;Georg Schaeffler;$10.3B;-$203M;-$409M ;Germany;Industrial;Genterstrasse 60;Kiel;24146;Schleswig-Holstein;2002125451448;y5685677j
227;Rinat Akhmetov;$10.3B;-$85.2M;+$2.81B ;Ukraine;Industrial;Leningradskiy Pr., bld. 15;Mariupol;;Donetskaya oblast;1990653902534;o1311725c
228;Blair Parry-Okeden;$10.3B;-$124M;+$1.04B ;United States;Media & Telecom;293 Scenicview Drive;Athens;75751;Arkansas;1982627937770;f8350484b
229;Jim Kennedy;$10.3B;-$99.0M;+$1.04B ;United States;Media & Telecom;4790 Kembery Drive;Oswego;60543;Maryland;2009736364569;b5239695v
230;Suleiman Kerimov;$10.3B;+$17.5M;+$398M ;Russia;Commodities;Pr Stroiteley, bld. 27, appt. 131;Saratov;;Saratovskaya oblast;1976993221089;b2285634g
231;Brian Kim;$10.3B;-$159M;+$3.34B ;Korea;Technology;8-11, Mansu 3(sam)-dong;Namdong-gu;;Incheon;1977823849252;z4378494v
232;Shu Ping;$10.3B;+$307M;-$4.26B ;Singapore;Food & Beverage; 511 Guillemard Rd #02-04;Singapore;729030;;1980972795023;m9753645k
233;Evan Spiegel;$10.3B;+$183M;+$827M ;United States;Technology;4487 Retreat Avenue;Birmingham;35209;New York;2009776079327;f9149265f
234;Michael Platt;$10.2B;-$100M;+$5.35B ;United Kingdom;Finance;40 Manor Way;Great Paxton; PE19 9DG;Iowa;1996139821992;a6927048j
235;Qi Shi;$10.2B;+$201M;+$41.0M ;China;Finance;Fu Tian Cun Niu Xiang Fang 69hao 602（ Fu Xing Wo Er Ma Hou Mian ）;Shenchou - Futian District;;Guangdong;1951227704509;w1744162v
236;Zhang Yong;$10.2B;+$307M;-$4.26B ;Singapore;Food & Beverage; 1 SUNGEI KADUT INDUSTRIAL ESTATE STREET 4;Singapore;886500;;1948427155024;n2429503t
237;Jay Chaudhry;$10.2B;+$254M;-$1.64B ;United States;Technology;2225 Lodgeville Road;Pacific;98047;Wisconsin;1950882635390;i9631733y
238;Anthony Pratt;$10.2B;-$55.2M;+$2.38B ;Australia;Industrial;42 Paradise Falls Road;BOBINAWARRAH;3678;Victoria;1984716505541;j6695787u
239;Johann Graf;$10.1B;$0;+$50.0M ;Austria;Entertainment;Ortsstrasse 93;Wildberg;4202;Lower Austria;1943170774249;j6916711t
240;Dietmar Hopp;$10.1B;-$179M;+$432M ;Germany;Technology;Anhalter Strasse 41;Becherbach;67827;Rhineland-Palatinate;1940185101058;r9829236w
241;Michael Otto;$10.1B;-$96.6M;+$72.6M ;Germany;Retail;Paderborner Strasse 65;Kammlach;87754;Free State of Bavaria;1955413981529;t1957159u
242;Antonia Axson Johnson;$10.1B;-$57.9M;+$973M ;Sweden;Industrial; Liljerum Grenadjärtorpet 61; Solna; 171 18;;1974268661662;q7656875f
243;George Roberts;$10.0B;-$96.7M;+$1.66B ;United States;Finance;916 Carolina Avenue;Loveland;80537;Arizona;1957063427855;y8162603e
244;Nathan Blecharczyk;$9.99B;-$278M;-$271M ;United States;Services;4668 Little Acres Lane;Golden;62339;Tennessee;1964034375140;v7089786q
245;Joe Gebbia;$9.97B;-$278M;-$295M ;United States;Services;113 Oakwood Avenue;Manhattan;10016;Louisiana;1953590267018;f9929911r
246;Gianluigi Aponte;$9.95B;$0;+$392M ;Switzerland;Services;Wolfensbergstrasse 108;Ringoldswil;3656;;1963529483012;y8271803j
247;John Fredriksen;$9.91B;-$103M;+$1.21B ;Cyprus;Industrial;83 Neapoleos Street;Paphos;;Paphos;1964433010869;v5644598a
248;Yao Liangsong;$9.86B;-$258M;+$1.45B ;China;Retail;Jin Yuan Lu 13hao 1301shi;City Area - Jiangbei District;;Chongqing;1963617519792;b4901013k
249;Giorgio Armani;$9.77B;-$352M;+$2.14B ;Italy;Consumer; Via Campi Flegrei 70; Locorotondo;70010; Bari;1992194851840;o4180082j
250;Sarath Ratanavadi;$9.77B;-$19.6M;+$510M ;Thailand;Energy;359/4 Ma Maison Condominium Soi 94 Latprao;Wangthonglang;10310;Bangkok;1991404261931;y6462720o
251;Henry Kravis;$9.76B;-$117M;+$1.52B ;United States;Finance;1019 Goodwin Avenue;Wenatchee;98801;Connecticut;1956624182819;g5280010x
252;Christy Walton;$9.76B;-$73.7M;-$244M ;United States;Retail;2014 Bell Street;New York;10011;California;1998530565440;d3895716q
253;Luis Sarmiento;$9.75B;-$7.99M;-$947M ;Colombia;Finance;Cl 105A No. 15B-03 VILLA SARA, C.P 68001;Bucaramanga;;Bucaramanga;1950897266244;c7150305v
254;Cai Kui;$9.74B;-$220M;+$467M ;China;Real-Estate;Chuang Shi Ji Bin Hai Hua Yuan 3# 9b;Shenchou - Nanshan District;;Guangdong;1960101027047;h2326268t
255;Stan Kroenke;$9.72B;$0;+$1.37B ;United States;Real-Estate;2436 Davis Street;Athens;30601;Massachusetts;1970916394557;v9693718p
256;Niels Louis-Hansen;$9.68B;-$195M;+$389M ;Denmark;Health Care;Ladbyvej 49;Pandrup;9490; Region Nordjylland;1985407871607;r6008776s
257;Les Wexner;$9.65B;-$100M;+$1.68B ;United States;Retail;4621 Kelly Drive;Charleston;25301;Georgia;1988865365124;r1017008z
258;Sunil Mittal;$9.59B;-$57.8M;+$696M ;India;Media & Telecom;3b 24, B P, Faridabad, Faridabad;Delhi;121001;  Delhi;2002712270070;u8798709z
259;Tobi Lutke;$9.57B;+$231M;-$264M ;Canada;Technology;2421 Algoma St;Thunder Bay;P7A 4T3;Ontario;1952306701541;o4363767u
260;Alberto Bailleres;$9.57B;-$87.6M;-$698M ;Mexico;Commodities;4A NORTE PONIENTE NO. 1664 1ER PISO, BONAPAK, 29080; Chiapas;29080; Tuxtla Gutiérrez;2005832143215;p3528862c
261;Tito Beveridge;$9.55B;-$84.6M;+$2.63B ;United States;Consumer;894 Coplin Avenue;Olyphant;18447;Florida;1943321596272;v3073595v
262;Anthony Bamford & Family;$9.51B;-$204M;+$1.69B ;United Kingdom;Industrial;74 Merthyr Road;Burmarsh; TN29 4TX;Indiana;1962496279779;r9466703j
263;Tim Sweeney;$9.47B;-$25.0M;+$25.0M ;United States;Technology;4649 Richland Avenue;Sugar Land;77487;California;2000697942626;p4025254j
264;Zhao Yan;$9.47B;+$239M;+$2.40B ;China;Health Care;Mei 9 B311;Nanjing - Jiangning District;;Jiangsu;1944775532288;h2812646c
265;Jorn Rausing;$9.46B;-$118M;-$337M ;Sweden;Services; Södra Kroksdal 87; Töreboda; 545 38;;1940631230212;r5615709q
266;Zhang Bangxin;$9.43B;-$182M;-$3.11B ;China;Services;Fu Yuan Dao 77hao;City Area - Wuqing District;;Tianjin;1942595719001;g4576972p
267;August von Finck;$9.42B;-$111M;-$23.2M ;Germany;Diversified;Genterstrasse 17;Badendorf;23619;Schleswig-Holstein;1990359326483;o7740823j
268;Andy Beal;$9.40B;-$67.8M;+$599M ;United States;Finance;1671 Colonial Drive;El Campo;77437;Pennsylvania;1976561639955;j5233787s
269;George Lucas;$9.40B;-$95.7M;+$220M ;United States;Entertainment;3685 Grove Street;Brentwood;11717;California;1952439380116;z9103901p
270;German Khan;$9.39B;-$89.8M;-$395M ;Russia;Diversified;Zorge R. Ul., bld. 26, appt. 3;Volzhskiy;;Volgogradskaya oblast;1961957923497;s1290440e
271;Wee Cho Yaw;$9.39B;-$135M;+$917M ;Singapore;Finance;  10 Anson Road #10-10 INTERNATIONAL PLAZA;Singapore;609206;;1991665836645;l8184089e
272;Denise Coates;$9.37B;-$565M;-$876M ;United Kingdom;Entertainment;35 Nottingham Rd;Aberffrwd; SY23 2BR;Florida;1972722648848;m1258046f
273;Alexander Abramov;$9.34B;-$51.0M;+$956M ;Russia;Industrial;Gagarina 3 Mikrorayon, bld. 27, appt. 6;Zlatoust;;CHelyabinskaya oblast;1982322863853;q2733189i
274;Qian Dongqi;$9.32B;-$313M;+$4.10B ;China;Technology;Xin Yang Lu Kang Mei Hua Yuan 6dong 2dan Yuan 602;Nanningshi;;Guangxi;1974905837336;l3782084c
275;Harold Hamm;$9.32B;+$74.1M;+$4.22B ;United States;Energy;633 Seltice Way;Mullan;83846;Minnesota;1969924152405;a7989183j
276;Iskandar Makhmudov;$9.31B;+$250M;+$1.46B ;Russia;Commodities;Tereshkovoy Ul., bld. 38/А, appt. 78;Lipetsk;;Lipetskaya oblast;1945994739257;v3477698c
277;John Malone;$9.29B;-$46.3M;+$1.22B ;United States;Media & Telecom;3574 Birch Street;Indianapolis;46250;Ohio;1965222317188;n1525175b
278;Hansjoerg Wyss;$9.27B;-$35.6M;+$347M ;Switzerland;Health Care;Via Verbano 26;Urtenen;3322;;1957662424530;l8874860x
279;Rupert Murdoch;$9.20B;+$19.7M;+$1.75B ;United States;Media & Telecom;2148 Masonic Hill Road;Little Rock;72212;Indiana;1945454455092;t7840950c
280;James Pattison;$9.18B;-$33.6M;+$1.59B ;Canada;Media & Telecom;348 184th Street;Edmonton;T5J 2R4;Alberta;1998480014025;c8151992c
281;Jude Reyes;$9.18B;-$138M;+$1.24B ;United States;Consumer;3525 Flanigan Oaks Drive;Temple Hills;20031;South Carolina;1982915264970;z7209847w
282;Chris Reyes;$9.18B;-$138M;+$1.24B ;United States;Consumer;1468 Frosty Lane;Utica;13502;Colorado;2004260883812;o8094586x
283;Tatyana Bakalchuk;$9.14B;+$136M;+$49.9M ;Russia;Technology;G. Likino-Dulevo Ul.1-Go Maya, bld. 26/А , appt. 227;Orekhovo-zuevo;;Moskovskaya oblast;1961173959874;y4169877e
284;Gabe Newell;$9.06B;+$100M;-$114M ;United States;Technology;3295 B Street;Hortonville;54944;Virginia;1957865011327;p3670668g
285;Andrew Currie;$8.97B;+$23.6M;+$588M ;United Kingdom;Industrial;28 Bishopthorpe ;Pennsylvania; SN14 9QW;Wisconsin;1965537569591;b6344971m
286;Johann Rupert & Family;$8.94B;-$115M;+$924M ;South Africa;Diversified;2010 Cheriton Dr;Malvern;4147;Gauteng;1953709705785;n6324964e
287;Silvio Berlusconi;$8.94B;-$105M;+$856M ;Italy;Media & Telecom; Via Rosmini 109; Casalsottano;84040; Salerno;2008934960557;d2956460c
288;John Reece;$8.91B;+$23.4M;+$584M ;United Kingdom;Industrial;54 Maidstone Roa;Wepham; BN18 7UT;South Carolina;1947807329312;z9362917y
289;Cheng Xue;$8.90B;+$442M;-$1.48B ;China;Food & Beverage;Si Chuan Sheng Ren Shou Xian Ling Zhou Jian Li You Xian Ze Ren Gong Si;Meishan - Renshoucounty;;Sichuan;1981201968364;l7362966f
290;Willi Liebherr;$8.86B;-$193M;+$963M ;Germany;Industrial;Paderborner Strasse 51;Unterdießen;86944;Free State of Bavaria;1999237017993;v7065395t
291;Isolde Liebherr;$8.86B;-$193M;+$963M ;Germany;Industrial;Buelowstrasse 93;vineyards;87669;Free State of Bavaria;2005858267538;z3990082u
292;John Albert Sobrato;$8.84B;$0;$0 ;United States;Real-Estate;4109 Hillside Street;Mesa;85225;Missouri;1987118149065;u4192372f
293;Marc Benioff;$8.83B;+$27.7M;-$93.0M ;United States;Technology;3586 Wiseman Street;Knoxville;37919;Missouri;1969913596866;o4142711y
294;Denis Sverdlov;$8.80B;-$130M;+$4.17B ;Russia;Technology;Voinov-Internatsionalistov, bld. 45, appt. 60;Cheboksary;;Respublika CHuvashiya;1996270114640;t9421879h
295;Li Zhenguo;$8.80B;-$147M;+$496M ;China;Energy;Zhu Hai Hong Shan Piao Zheng Yin Shua You Xian Gong Si;Zhuhai - Jinwan District;;Guangdong;1982470833199;n3508309v
296;Sandra Ortega Mera;$8.74B;-$134M;+$1.02B ;Spain;Retail;Pza. Fuensanta 57;O Bolo;32373;Ourense;1975066204386;s9012516j
297;Hui Wing Mau;$8.74B;-$193M;-$768M ;Hong Kong;Real-Estate;Sunshine Plaza Wan Chai;Wan Chai District;;Hong Kong;1978903346606;v1849453i
298;Liu Jincheng;$8.71B;-$292M;+$621M ;China;Industrial;Guang Dong Sheng Xia Tang Xi Zheng Min Lu 79hao 504;Guangzhou - Baiyun District;;Guangdong;1959267480059;j1637146l
299;Theo Albrecht Jr.;$8.71B;-$193M;+$53.7M ;Germany;Retail;Kastanienallee 46;Gudendorf;25722;Schleswig-Holstein;1970536805384;p5603791n
300;Dennis Washington;$8.69B;-$49.8M;+$1.56B ;United States;Industrial;2976 Passaic Street;Rodessa;71069;California;1948208655732;p9078198m
301;Stephen Ross;$8.69B;-$128M;+$327M ;United States;Real-Estate;626 Airplane Avenue;Hartford;6182;Texas;1983524618111;q1632765s
302;Lin Bin;$8.66B;-$189M;-$3.16B ;United States;Technology;3102 Rainbow Road;Los Angeles;90017;Connecticut;1974425971846;k4779733p
303;Mohammed Al Amoudi;$8.66B;+$28.7M;+$1.09B ;Saudi Arabia;Energy;Khamis Mushait;Asir;;Asir;2008874298082;m7899841b
304;Robert Smith;$8.65B;$0;+$1.60B ;United States;Finance;1425 Metz Lane;Cambridge;2142;Ohio;1980053742152;n3999977s
305;Rocco Commisso;$8.64B;-$64.4M;-$1.30B ;United States;Media & Telecom;4139 Hart Country Lane;Woodbury;30293;Arizona;1974002060077;h7512184y
306;Benu Bangur;$8.61B;+$81.0M;+$1.05B ;India;Commodities;968, Japani Bazar, Ulhasnagar;Mumbai;421002;  Maharashtra;1993846438848;k9373711a
307;German Larrea;$8.61B;+$19.2M;+$2.30B ;Mexico;Commodities;COLON 109 OTE, ZAMORA DE HIDALGO CENTRO, 59600; Michoacan;59600;Zamora;1990285104314;t3557449q
308;Anthony von Mandl;$8.60B;-$102M;+$2.60B ;Canada;Consumer; 975 Toy Avenue;  Port Mcneill; V0N 2R0; British Columbia;1975849075221;e3390051c
309;Shigenobu Nagamori;$8.60B;-$273M;-$986M ;Japan;Industrial; 474-1273, Haijimacho;Akishima-shi;; Tokyo;1982665118633;a1235119o
310;Lu Zhongfang;$8.60B;+$563M;-$3.19B ;China;Services;Hang Du Lu 80hao （ Sheng Chan Zhi Zao Bu ）;City Area;;Shanghai;1977985800784;d6109968m
311;Jerry Jones;$8.56B;-$45.8M;+$2.17B ;United States;Entertainment;583 Mapleview Drive;Tampa;33619;New York;1985050051527;b3406301j
312;Pei Zhenhua;$8.48B;-$58.9M;+$624M ;China;Industrial;Lu Jiang Xi Jie 99hao Qun Xing Yuan 117dong 308;Guangzhoushi;;Guangdong;2004729073940;p3741895s
313;Sun Hongbin;$8.45B;-$147M;+$648M ;United States;Real-Estate;756 Maple Street;Tustin;92680;Michigan;1988995169958;g4567060f
314;Ugur Sahin;$8.45B;-$185M;+$4.98B ;Germany;Health Care;Guentzelstrasse 26;Lissendorf;54587;Rhineland-Palatinaten;1996047370188;f7008793p
315;Joseph Lau;$8.39B;-$68.9M;+$742M ;Hong Kong;Real-Estate;Superluck Ind Centre;Tsuen Wan;;Hong Kong;1993552126287;s2102624n
316;Xu Shihui;$8.32B;-$78.2M;+$366M ;China;Food & Beverage;Cheng Shan Lu 2399long 48hao 201;City Area;;Shanghai;1967970144743;d6569882m
317;Li Ge;$8.30B;+$101M;+$507M ;United States;Health Care;3200 Cityview Drive;Allentown;18101;Wyoming;1962792182502;o9099537g
318;Ned Johnson IV;$8.29B;-$188M;+$967M ;United States;Finance;21 Leisure Lane;San Luis Obispo;93401;Maryland;1993257512476;z7546016f
319;Elizabeth Johnson;$8.29B;-$187M;+$964M ;United States;Finance;2024 Eagle Lane;Mcgregor;55760;Texas;1950068793508;a7835266j
320;Alexander Otto;$8.28B;-$48.4M;+$286M ;Germany;Real-Estate;Mohrenstrasse 67;Winterlingen;72474;Baden-Württemberg;1979639096559;e5496757c
321;Ruan Xueping;$8.28B;+$34.8M;-$265M ;China;Industrial;Dong Ba Hong Song Yuan Bei Jing Shi Di Shi Liu Zhong Xue;Beijing;;Beijing;1988338126000;p8244537m
322;Ruan Liping;$8.28B;+$9.78M;-$290M ;China;Industrial;Zhong Xin Cheng Qing Lin Zhong Lu 211hao Shui Wu Da Lou 708shi;Shenchou - Longgang District;;Guangdong;1994560637007;m3244178s
323;Daniel Dines;$8.27B;+$1.03B;+$3.56B ;Romania;Technology;Strada Floare de Colt 1, Borsa;Maramures;;Maramures;1963360859864;b4570638l
324;Carl Bennet;$8.25B;-$204M;+$1.39B ;Sweden;Finance; Östantorp Vinö 1; Gemla; 360 32;;1974847599234;v6662187g
325;Izzy Englander;$8.25B;-$28.3M;+$1.48B ;United States;Finance;485 Robinson Lane;Columbus;43215;Minnesota;1961969031174;y2424024m
326;Magdalena Martullo;$8.24B;-$192M;-$270M ;Switzerland;Industrial;Obere Haltenstrasse 53;Lützelflüh;3432;;1941276847103;s5931651k
327;Laurent Dassault;$8.19B;-$47.3M;+$550M ;France;Diversified;5 rue du Gue Jacquet;Chatou;78400;Île-de-France;1957082581317;n6934171q
328;Marie-Helene Habert-Dassault;$8.19B;-$47.4M;+$550M ;France;Diversified;85 rue Nationale;Paris;75007;Île-de-France;1951447049533;f5239188k
329;Thierry Dassault;$8.19B;-$47.3M;+$550M ;France;Diversified;76 rue Gontier-Patin;Agen;47000;Aquitaine;2009633230722;f1736242k
